id,county,fips,rural_urban,incidence_rate,avg_annual_count,trend
1,"Cass County",19029,Rural,581.9,114,rising
2,"Palo Alto County",19147,Rural,573.1,74,falling
3,"Appanoose County",19007,Rural,556.1,109,stable
4,"Cherokee County",19035,Rural,552.8,102,stable
5,"Chickasaw County",19037,Rural,547.9,95,rising
6,"Clinton County",19045,Rural,547.3,357,stable
7,"Howard County",19089,Rural,546.9,74,stable
8,"Monona County",19133,Rural,545.9,75,stable
9,"Jackson County",19097,Rural,545.6,156,stable
10,"Tama County",19171,Rural,544.4,127,rising
11,"Madison County",19121,Urban,540.6,113,stable
12,"Monroe County",19135,Rural,534.3,57,stable
13,"Pocahontas County",19151,Rural,534.3,60,stable
14,"Decatur County",19053,Rural,533.8,56,stable
15,"Butler County",19023,Rural,533.6,116,rising
16,"Floyd County",19067,Rural,531.7,123,stable
17,"Franklin County",19069,Rural,530,79,rising
18,"Grundy County",19075,Urban,528,95,stable
19,"Wapello County",19179,Rural,524.2,243,stable
20,"Harrison County",19085,Urban,522.7,107,stable
21,"Plymouth County",19149,Rural,520.9,175,stable
22,"Page County",19145,Rural,520.3,124,stable
23,"Des Moines County",19057,Rural,520.2,291,stable
24,"Keokuk County",19107,Rural,520.1,75,stable
25,"Buchanan County",19019,Rural,520,140,stable
26,"Osceola County",19143,Rural,519,49,stable
27,"Greene County",19073,Rural,519,70,rising
28,"Benton County",19011,Urban,518.7,182,stable
29,"Boone County",19015,Urban,518.1,191,rising
30,"Fremont County",19071,Rural,517.6,52,stable
31,"Mitchell County",19131,Rural,517.6,77,stable
32,"Marion County",19125,Rural,517.5,232,rising
33,"Black Hawk County",19013,Urban,516.7,816,stable
34,"Clay County",19041,Rural,515.9,127,stable
35,"Woodbury County",19193,Urban,515.4,618,stable
36,"Cedar County",19031,Rural,515,134,stable
37,"Ringgold County",19159,Rural,514.5,39,stable
38,"Adams County",19003,Rural,513.7,29,rising
39,"Humboldt County",19091,Rural,513.1,73,stable
40,"Linn County",19113,Urban,512.2,1425,stable
41,"Scott County",19163,Urban,511.6,1105,stable
42,"Dickinson County",19059,Rural,510.3,155,stable
43,"Lyon County",19119,Rural,509.3,78,stable
44,"Montgomery County",19137,Rural,505.8,77,stable
45,"Lee County",19111,Rural,505.4,248,stable
46,"Bremer County",19017,Urban,505.2,167,rising
47,"Muscatine County",19139,Rural,503,274,stable
48,"Louisa County",19115,Rural,502.7,77,stable
49,"Marshall County",19127,Rural,500.3,264,stable
50,"Worth County",19195,Rural,499.3,54,stable
51,"Emmet County",19063,Rural,498.7,71,stable
52,"Polk County",19153,Urban,497.8,2601,stable
53,"Washington County",19183,Urban,494.7,152,rising
54,"Dubuque County",19061,Urban,493.6,628,stable
55,"Cerro Gordo County",19033,Rural,493.4,324,falling
56,"Pottawattamie County",19155,Urban,493.3,601,stable
57,"Sac County",19161,Rural,493.2,77,stable
58,"Calhoun County",19025,Rural,490.9,72,stable
59,"Jasper County",19099,Urban,490.8,254,stable
60,"Union County",19175,Rural,490,85,stable
61,"Lucas County",19117,Rural,489.2,63,stable
62,"Webster County",19187,Rural,487.8,245,stable
63,"Crawford County",19047,Rural,486.2,104,stable
64,"Sioux County",19167,Rural,485.8,199,stable
65,"Jones County",19105,Urban,485.4,148,stable
66,"Clayton County",19043,Rural,485.2,132,stable
67,"Mahaska County",19123,Rural,484.5,140,stable
68,"Van Buren County",19177,Rural,483.5,54,stable
69,"Johnson County",19103,Urban,483.3,701,stable
70,"Mills County",19129,Urban,483.2,97,stable
71,"O'Brien County",19141,Rural,483,94,stable
72,"Fayette County",19065,Rural,481.5,142,stable
73,"Delaware County",19055,Rural,481.2,123,stable
74,"Davis County",19051,Rural,480,54,stable
75,"Poweshiek County",19157,Rural,479.3,126,stable
76,"Ida County",19093,Rural,477.3,50,stable
77,"Warren County",19181,Urban,475.4,307,stable
78,"Jefferson County",19101,Rural,474.9,117,stable
79,"Wright County",19197,Rural,472.2,90,stable
80,"Winneshiek County",19191,Rural,470,139,stable
81,"Allamakee County",19005,Rural,467.5,99,stable
82,"Henry County",19087,Rural,467.4,130,stable
83,"Hancock County",19081,Rural,463.9,76,stable
84,"Hardin County",19083,Rural,463,118,stable
85,"Story County",19169,Urban,462.4,418,stable
86,"Guthrie County",19077,Urban,460.1,76,stable
87,"Carroll County",19027,Rural,460,137,stable
88,"Shelby County",19165,Rural,458.3,83,rising
89,"Winnebago County",19189,Rural,458,71,stable
90,"Clarke County",19039,Rural,457,58,stable
91,"Dallas County",19049,Urban,450.6,447,stable
92,"Hamilton County",19079,Rural,444.2,92,stable
93,"Kossuth County",19109,Rural,444.1,107,stable
94,"Audubon County",19009,Rural,444,42,stable
95,"Taylor County",19173,Rural,441.6,41,stable
96,"Wayne County",19185,Rural,440,43,stable
97,"Adair County",19001,Rural,407.2,47,stable
98,"Buena Vista County",19021,Rural,406.8,101,falling
