Incidence Rate Report for Iowa by County

"All Cancer Sites (All Stages^), 2018-2022"

"All Races (includes Hispanic), Both Sexes, All Ages"

Sorted by Rate

County,FIPS,2023 Rural-Urban Continuum Codes([rural urban note]),"Age-Adjusted Incidence Rate([rate note]) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval","CI*Rank([rank note])","Lower CI (CI*Rank)","Upper CI (CI*Rank)",Average Annual Count,Recent Trend,"Recent 5-Year Trend ([trend note]) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Iowa(7)",19000,N/A,498.8 ,495.6, 502,N/A , N/A , N/A,20049,rising,0.7 ,0.4, 1.1
"US (SEER+NPCR)(1)",00000,N/A,448.6 ,448.3, 448.9,N/A , N/A , N/A,1821045,falling,-1.0 ,-1.6, -0.5
"Cass County(7)",19029,Rural,581.9 ,531.4, 636.4,1 , 1 , 48,114,rising,0.8 ,0.2, 1.5
"Palo Alto County(7)",19147,Rural,573.1 ,512.1, 639.9,2 , 1 , 74,74,falling,-7.7 ,-17.0, -0.1
"Appanoose County(7)",19007,Rural,556.1 ,507.5, 608.6,3 , 1 , 71,109,stable,0.5 ,-0.2, 1.2
"Cherokee County(7)",19035,Rural,552.8 ,501.9, 608.1,4 , 1 , 76,102,stable,0.2 ,-0.5, 1.0
"Chickasaw County(7)",19037,Rural,547.9 ,496.5, 603.6,6 , 1 , 81,95,rising,0.7 ,0.1, 1.4
"Clinton County(7)",19045,Rural,547.3 ,521.1, 574.7,5 , 1 , 47,357,stable,0.3 ,0.0, 0.7
"Howard County(7)",19089,Rural,546.9 ,489.1, 610.2,7 , 1 , 86,74,stable,0.6 ,-0.3, 1.5
"Monona County(7)",19133,Rural,545.9 ,487.9, 609.6,8 , 1 , 88,75,stable,0.5 ,0.0, 1.1
"Jackson County(7)",19097,Rural,545.6 ,505.5, 588.3,9 , 1 , 68,156,stable,0.5 ,0.0, 1.0
"Tama County(7)",19171,Rural,544.4 ,500.6, 591.3,10 , 1 , 76,127,rising,0.5 ,0.1, 1.0
"Madison County(7)",19121,Urban,540.6 ,495.8, 588.6,11 , 1 , 82,113,stable,0.4 ,-0.3, 1.3
"Monroe County(7)",19135,Rural,534.3 ,471.4, 604,15 , 1 , 95,57,stable,0.5 ,0.0, 0.9
"Pocahontas County(7)",19151,Rural,534.3 ,470.1, 605.6,12 , 1 , 95,60,stable,0.0 ,-0.6, 0.6
"Decatur County(7)",19053,Rural,533.8 ,469.3, 605.2,13 , 1 , 95,56,stable,0.6 ,0.0, 1.3
"Butler County(7)",19023,Rural,533.6 ,488.3, 582.3,14 , 1 , 86,116,rising,1.6 ,0.8, 3.7
"Floyd County(7)",19067,Rural,531.7 ,487.9, 578.8,16 , 1 , 85,123,stable,0.5 ,-0.1, 1.2
"Franklin County(7)",19069,Rural,530 ,476.3, 588.6,18 , 1 , 93,79,rising,0.9 ,0.4, 1.4
"Grundy County(7)",19075,Urban,528 ,479.5, 580.4,17 , 1 , 87,95,stable,0.4 ,-0.3, 1.2
"Wapello County(7)",19179,Rural,524.2 ,494.1, 555.7,19 , 3 , 74,243,stable,0.3 ,0.0, 0.7
"Harrison County(7)",19085,Urban,522.7 ,477.2, 571.6,20 , 1 , 90,107,stable,0.3 ,-0.3, 0.9
"Iowa County(7)",19095,Rural,521.5 ,478.8, 567.3,22 , 1 , 87,122,stable,0.2 ,-0.4, 0.8
